Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round)
2009-07-22,"Jilin Dahua is the ring gear, flywheel, and flexplate manufacturer in China.",Jilin Dahua,https://www.crunchbase.com/organization/jilin-dahua,"Automotive, Machinery Manufacturing, Manufacturing","Changchun, Jilin, China, Asia",Angel Round - Jilin Dahua,https://www.crunchbase.com/funding_round/jilin-dahua-angel--7fc73010,1,Dongguang Jituan,Seed,,Angel,1,3000000,CNY,439202,,,,3000000,CNY,439202,Yes,,http://www.dahuajl.com/index.asp,,Seed,,"485,277"
2010-03-15,AUTOBOTY is an industrial robot application system integrator.,AUTOBOTY,https://www.crunchbase.com/organization/autoboty,"Industrial Automation, Machinery Manufacturing, Manufacturing, Robotics","Foshan, Guangdong, China, Asia",Angel Round - AUTOBOTY,https://www.crunchbase.com/funding_round/autoboty-angel--e722a2ae,1,Taigang Chuangtou,Seed,,Angel,1,3000000,CNY,439498,,,,3000000,CNY,439498,Yes,,http://www.lxdrobotics.cn/,,Seed,,"486,257"
2010-03-01,Stars Express is a Chinese domestic courier service for scattered parcels.,Stars Express,https://www.crunchbase.com/organization/stars-express,Public Transportation,"Beijing, Beijing, China, Asia",Venture Round - Stars Express,https://www.crunchbase.com/funding_round/stars-express-series-unknown--1f40cc21,1,Alibaba Capital Partners,,,Venture - Series Unknown,1,,,,,,,,,,Yes,,,,,,"474,085"
2010-05-25,Jiyuan.com is an investment management service organization.,Jiyuan.com,https://www.crunchbase.com/organization/jiyuan-com,"Consulting, Financial Services, Wealth Management","Shanghai, Shanghai, China, Asia",Angel Round - Jiyuan.com,https://www.crunchbase.com/funding_round/jiyuan-com-angel--26f5f3a1,1,DCI (Shanghai) Investment Management,Seed,,Angel,1,3000000,CNY,439175,,,,3000000,CNY,439175,Yes,,http://www.jiyuan.com/,,Seed,,"481,617"
2010-08-04,"SYNTRON focuses on the development, manufacturing precision control motor, and drive, the control system in the field of motion control.",SYNTRON,https://www.crunchbase.com/organization/syntron-cb3c,"Automotive, Electronics, Manufacturing","Haidian, Beijing, China, Asia",Series A - SYNTRON,https://www.crunchbase.com/funding_round/syntron-cb3c-series-a--92d415af,1,Dongsheng Bozhan Jituan,Early Stage Venture,,Series A,2,10000000,CNY,1476444,,,,13000000,CNY,1838995,Yes,,http://www.syn-tron.com/,,Early Stage Venture,,"481,654"
2009-11-24,qeweb provides business consulting and system development services for the supply chain management.,qeweb,https://www.crunchbase.com/organization/qeweb,"Consulting, Information Technology, Supply Chain Management","Suzhou, Jiangsu, China, Asia",Angel Round - qeweb,https://www.crunchbase.com/funding_round/qeweb-angel--aa34217d,1,Shenlan Chuangtou,Seed,,Angel,1,3000000,CNY,439233,,,,3000000,CNY,439233,Yes,,http://www.qeweb.com/,,Seed,,"462,004"
2010-11-01,51Intern is a social networking site designed for university students and fresh graduates to get online professional career guidance.,51Intern,https://www.crunchbase.com/organization/51intern-com-2,"Career Planning, Human Resources, Search Engine, SNS, Social Media, Universities","Shanghai, Shanghai, China, Asia",Seed Round - 51Intern,https://www.crunchbase.com/funding_round/51intern-com-2-seed--92744e08,1,DaD Asia,Seed,,Seed,1,,,,,,,,,,Yes,,http://www.51intern.com,,Seed,,"483,162"
2010-01-01,"Beijing Science and Technology Co., play crab (Playcrab) is focused on the mobile Internet game operators innovative product development",Playcrab,https://www.crunchbase.com/organization/playcrab,"Apps, Electronics, Gaming, Internet, iOS, Leisure, Mobile, Mobile Apps, Video Games","Beijing, Beijing, China, Asia",Angel Round - Playcrab,https://www.crunchbase.com/funding_round/playcrab-angel--d9cbd32f,1,Plum Ventures,Seed,,Angel,1,3000000,CNY,439318,,,,3000000,CNY,439318,Yes,,http://playcrab.com,,M&A,,"462,447"
2009-06-01,Kaige Keji is a web games and mobile games developer.,Kaige Keji,https://www.crunchbase.com/organization/kaige-keji,"Gaming, Mobile, Online Games","Hangzhou, Zhejiang, China, Asia",Angel Round - Kaige Keji,https://www.crunchbase.com/funding_round/kaige-keji-angel--3b4b1cd1,1,Tengxun Touzi,Seed,,Angel,1,3000000,CNY,439412,,,,3000000,CNY,439412,Yes,,http://www.91kge.com/,,Seed,,"485,440"
2010-05-13,"Xinhua United Distribution Co., Ltd focuses on books, newspapers, periodicals, electronic publications wholesale and retail.","Xinhua United Distribution Co., Ltd",https://www.crunchbase.com/organization/xinhua-united-distribution-co-ltd,"Publishing, Retail, Wholesale","Beijing, Beijing, China, Asia","Angel Round - Xinhua United Distribution Co., Ltd",https://www.crunchbase.com/funding_round/xinhua-united-distribution-co-ltd-angel--adc9db2f,1,Phoenix Media,Seed,,Angel,1,3000000,CNY,439331,,,,3000000,CNY,439331,Yes,,http://www.xinhuaunited.com.cn/,,Seed,,"466,258"
