Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round)
2017-09-19,QuantoBio is a developer of reagents for immunology research.,QuantoBio,https://www.crunchbase.com/organization/quantobio,"Biotechnology, Health Care, Medical","Daxing, Beijing, China, Asia",Post-IPO Equity - QuantoBio,https://www.crunchbase.com/funding_round/quantobio-post-ipo-equity--0fe1fc50,2,"Jiahao Group, Northeast Securities",,,Post-IPO Equity,5,45000000,CNY,6834585,,,,89000000,CNY,14048578,Yes,,http://www.quantobio.com,,IPO,,"551,375"
2017-08-28,"Cedar InclusiFi provides financial information intermediary services for agriculture, rural areas, small and micro-enterprises.",Cedar InclusiFi,https://www.crunchbase.com/organization/cedar-inclusifi,"Agriculture, Finance, Small and Medium Businesses","Guangzhou, Guangdong, China, Asia",Series B - Cedar InclusiFi,https://www.crunchbase.com/funding_round/cedar-inclusifi-series-b--8785df72,3,"SAIF Partners, SFUND, Shenzhen International Huazhang Logistics Industry Fund Management",Early Stage Venture,,Series B,4,20000000,CNY,3026483,,,,63000000,CNY,9809692,Yes,,https://www.zhxcf.com/,,Late Stage Venture,,"553,805"
2017-07-12,Audfly Technology provides acoustics innovation and sound environmental protection.,Audfly Technology,https://www.crunchbase.com/organization/audfly-technology,"Audio, Electronics, Hardware","Suzhou, Jiangsu, China, Asia",Series A - Audfly Technology,https://www.crunchbase.com/funding_round/audfly-technology-series-a--ab2c0c85,3,"JiangSu QianRong Assets Management, Kington Capital, Suzhou Mintou",Early Stage Venture,,Series A,4,20000000,CNY,2946550,,,,115250000,CNY,17068726,Yes,,http://www.audfly.com/,$1M to $10M,Private Equity,,"551,586"
2017-07-17,Yuantiao Keji offers big data analysis services and solutions.,YUANTIAO,https://www.crunchbase.com/organization/yuantiao,"Analytics, Big Data, Hardware, Software","Hangzhou, Zhejiang, China, Asia",Series A - YUANTIAO,https://www.crunchbase.com/funding_round/yuantiao-series-a--c88afa8a,2,"China Elite Capital, SVB Capital",Early Stage Venture,,Series A,2,50000000,CNY,7385822,,,,53000000,CNY,7860109,Yes,,http://www.yuantiaotech.com,,Early Stage Venture,,"555,366"
2017-07-20,51Huiyishi provides conference management products and services.,51Huiyishi,https://www.crunchbase.com/organization/51huiyishi,"Hardware, Information Services, Information Technology, Software","Huangpu, Shanghai, China, Asia",Angel Round - 51Huiyishi,https://www.crunchbase.com/funding_round/51huiyishi-angel--01f0b71b,2,"Renyin Kongjian Jishu, Xingmeng Touzi",Seed,,Angel,1,3000000,CNY,443814,,,,3000000,CNY,443814,Yes,,https://www.51hys.com/,,Seed,,"555,929"
2017-07-01,USCI Medical Laboratory is a national high-tech company that offers genetic testing services.,USCI Medical Laboratory,https://www.crunchbase.com/organization/usci-medical-loboratary,"Health Care, Medical, Wellness","Haidian, Beijing, China, Asia",Series A - USCI Medical Laboratory,https://www.crunchbase.com/funding_round/usci-medical-loboratary-series-a--eb6235d2,3,"CITIC Guoan Group Corporation, K2VC, ShenZhen GTJA Investment Group",Early Stage Venture,,Series A,4,170000000,CNY,25082810,,,,260000000,CNY,38962830,Yes,,http://www.scisoon.cn/,,Private Equity,,"556,119"
2017-09-05,ChillyRoom is a mobile game developer company.,ChillyRoom,https://www.crunchbase.com/organization/chillyroom,"Gaming, Mobile, PC Games, Software","Shenzhen, Guangdong, China, Asia",Series A - ChillyRoom,https://www.crunchbase.com/funding_round/chillyroom-series-a--c03791c3,3,"Jiujiang Touzi, Qutou Touzi, syyx.com",Early Stage Venture,,Series A,3,10000000,CNY,1529403,,,,33000000,CNY,5153342,Yes,,http://www.chillyroom.com/,,Early Stage Venture,,"555,047"
2017-07-06,"BMSer Technoogy is specialized in new energy battery management technology research and development, production and management.",BMSer Technoogy,https://www.crunchbase.com/organization/bmser-technoogy,"Energy, Manufacturing","Hangzhou, Zhejiang, China, Asia",Venture Round - BMSer Technoogy,https://www.crunchbase.com/funding_round/bmser-technoogy-series-unknown--3bb99889,2,"CrestValue, Sinowisdom",,,Venture - Series Unknown,3,32500000,CNY,4779022,,,,132500000,CNY,20254107,Yes,,http://www.bmser.com,,Late Stage Venture,,"556,600"
2017-09-14,Hanyu Medical is a transcatheter mitral valve repair equipment supplier.,Hanyu Medical,https://www.crunchbase.com/organization/hanyu-medical,"Health Care, Medical, Medical Device","Shanghai, Shanghai, China, Asia",Series A - Hanyu Medical,https://www.crunchbase.com/funding_round/hanyu-medical-series-a--39ea0840,2,"Anlongmed Fund, Med-Fine Capital",Early Stage Venture,,Series A,6,,,,,,,163437464,USD,163437464,Yes,,http://www.hanyumedical.com,$1M to $10M,Late Stage Venture,,"556,702"
2017-07-01,ORCA-TECH creates unmanned water surface driving technology and service robots.,ORCA-TECH,https://www.crunchbase.com/organization/orca-tech,"Boating, Robotics","Xian Shi, Shaanxi, China, Asia",Seed Round - ORCA-TECH,https://www.crunchbase.com/funding_round/orca-tech-seed--6bd99490,1,XBOTPARK Jijin,Seed,,Seed,4,1000000,CNY,147546,,,,151000000,CNY,21679868,Yes,,http://www.orca-tech.cn/,,Early Stage Venture,,"556,838"
