Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round),Sentiment
2023-01-06,Adimai Technology is a provider of automated detection and separation and purification solutions.,Admiral Technology,https://www.crunchbase.com/organization/admiral-technology,"Biotechnology, Medical, Pharmaceutical","Suzhou, Jiangsu, China, Asia",Venture Round - Admiral Technology,https://www.crunchbase.com/funding_round/admiral-technology-series-unknown--283310bf,2,"Nanjing Innovation Capital Group, Zijin High-Tech Venture Capital",,,Venture - Series Unknown,1,,,,,,,,,,Yes,,http://www.tdmcn.com/,,,1,"120,264",
2023-02-08,Longmen fried skewers is a chain brand service provider of snacks.,Longmen Fried Skewers,https://www.crunchbase.com/organization/longmen-fried-skewers,"Catering, Food and Beverage, Food Processing","Jinan, Shandong, China, Asia",Series A - Longmen Fried Skewers,https://www.crunchbase.com/funding_round/longmen-fried-skewers-series-a--294e6e56,1,Yingduo Capital,Early Stage Venture,,Series A,1,30000000,CNY,4418783,,,,30000000,CNY,4418783,Yes,,,,Early Stage Venture,,"120,297",
2023-02-08,Ningdan New Drug is a developer of new drugs for central nervous system diseases.,Ningdan new drug,https://www.crunchbase.com/organization/ningdan-new-drug,"Biopharma, Biotechnology, Pharmaceutical","Jiangning, Jiangsu, China, Asia",Series A - Ningdan new drug,https://www.crunchbase.com/funding_round/ningdan-new-drug-series-a--bdba2599,1,Simcere Pharma,Early Stage Venture,,Series A,2,,,,,,,,,,Yes,,https://www.neurondawn.com/,,,,"120,422",
2023-02-08,Caixin Jixiang Life Insurance is a financial service provider.,Caixin Jixiang Life Insurance,https://www.crunchbase.com/organization/caixin-jixiang-life-insurance,"Health Insurance, Insurance, Life Insurance","Hunan, Fujian, China, Asia",Private Equity Round - Caixin Jixiang Life Insurance,https://www.crunchbase.com/funding_round/caixin-jixiang-life-insurance-private-equity--7d3458f7,3,"Caixin Industry Fund, Changsha Hongzhuo Investment Management, Mango Media",Private Equity,,Private Equity,1,769000000,CNY,113268132,,,,769000000,CNY,113268132,Yes,,http://life.hnchasing.com/,,Private Equity,,"120,792",
2023-02-23,Vilego is a manufacturer of shared motorcycles.,VELOTRIC,https://www.crunchbase.com/organization/velotric,"Electric Vehicle, Transportation, Travel","Shenzhen, Guangdong, China, Asia",Series A - VELOTRIC,https://www.crunchbase.com/funding_round/velotric-series-a--d40ae02e,2,"Fosun RZ Capital, Redpoint Ventures China",Early Stage Venture,,Series A,3,50000000,CNY,7237880,,,,50000000,CNY,7237880,Yes,,https://www.velotricbike.com,$10M to $50M,Early Stage Venture,2,"120,854",
2023-02-16,Shenzhen Upward Cross-border Technology is a software service company based on business intelligence and big data.,Shenzhen Upward Cross-border Technology,https://www.crunchbase.com/organization/shenzhen-upward-cross-border-technology,"E-Commerce, Enterprise Software","Shenzhen, Guangdong, China, Asia",Angel Round - Shenzhen Upward Cross-border Technology,https://www.crunchbase.com/funding_round/shenzhen-upward-cross-border-technology-angel--317c331a,1,Blue Ocean Capital,Seed,Blue Ocean Capital,Angel,2,,,,,,,,,,Yes,,https://www.upkuajing.com/,Less than $1M,Seed,,"121,264",
2023-01-10,MediTrust Health is a Leading Healthcare Platform in China,MediTrust Health,https://www.crunchbase.com/organization/meditrust-health,"Health Care, Internet, Medical","Xuhui, Shanghai, China, Asia",Private Equity Round - MediTrust Health,https://www.crunchbase.com/funding_round/meditrust-health-private-equity--ff3b6858,1,HSBC China,Private Equity,HSBC China,Private Equity,6,,,,1600000000,USD,1600000000,308000000,USD,308000000,Yes,,https://www.meditrusthealth.com/,$100M to $500M,Private Equity,,"121,504",
2023-03-21,Orange La is an exam learning software for college students.,Orange Education,https://www.crunchbase.com/organization/orange-la,"E-Learning, Education, Language Learning","Haidian, Beijing, China, Asia",Series A - Orange Education,https://www.crunchbase.com/funding_round/orange-la-series-a--4c495b9a,2,"Taoli Capital, Zhang Aizhi",Early Stage Venture,,Series A,1,,,,,,,,,,Yes,,https://www.orangevip.com/,,Early Stage Venture,,"121,965",
2023-03-29,Hualian Medical is a medical big data scientific research service platform.,Hualian Medical,https://www.crunchbase.com/organization/hualian-medical,"Health Care, Hospital, Medical","Jinan, Shandong, China, Asia",Angel Round - Hualian Medical,https://www.crunchbase.com/funding_round/hualian-medical-angel--1b7bbea3,1,OpenPie,Seed,,Angel,1,,,,,,,,,,Yes,,http://www.huxleymedical.tech/,,Seed,,"121,990",
2023-03-06,Standard Robots is a robotics company that offers flexible industrial logistics solutions.,Standard Robots,https://www.crunchbase.com/organization/standard-robots,"Industrial, Industrial Automation, Logistics, Robotics, Software","Baoan, Guangdong, China, Asia",Series C - Standard Robots,https://www.crunchbase.com/funding_round/standard-robots-series-c--0499cadd,2,"China Capital Management, Xiaomi",Late Stage Venture,Xiaomi,Series C,5,600000000,CNY,86575089,,,,198079849,USD,198079849,Yes,,https://en.standard-robots.com/,$1M to $10M,Late Stage Venture,,"122,457",
2023-01-01,NFKings is a service provider for the NFT industry chain.,NFKings,https://www.crunchbase.com/organization/nfkings,"Internet, Metaverse, Online Games, Web Browsers","Shanghai, Shanghai, China, Asia",Venture Round - NFKings,https://www.crunchbase.com/funding_round/nfkings-series-unknown--3318b6ea,1,Ventech China,,,Venture - Series Unknown,1,,,,,,,,,,Yes,,https://www.nfkings.com/en/,,,,"122,756",
2023-04-07,Yimai Silicon is a professional R&D and mass production manufacturer of advanced packaging substrate technology.,Yimai Silicon,https://www.crunchbase.com/organization/yimai-silicon,"Electronics, Packaging Services, Semiconductor","Suzhou, Jiangsu, China, Asia",Angel Round - Yimai Silicon,https://www.crunchbase.com/funding_round/yimai-silicon-angel--09389198,4,"Cowin Venture, Shenzhen Lanshi Venture Capital, Venture capitalist, Wuzhong Venture Capital",Seed,,Angel,1,,,,,,,,,,Yes,,https://www.emcsct.com/sy,,Seed,,"122,773",
2023-04-04,Hydrogen Technology focuses on the research and development and industrialization of fuel cell engines.,Hydrogen Technology,https://www.crunchbase.com/organization/hydrogen-technology,"Automotive, Fuel Cell, Industrial, Machinery Manufacturing, Manufacturing","Hangzhou, Zhejiang, China, Asia",Venture Round - Hydrogen Technology,https://www.crunchbase.com/funding_round/hydrogen-technology-series-unknown--b6361c5d,2,"CICC, ZSVC",,CICC,Venture - Series Unknown,2,80000000,CNY,11628245,,,,204000000,CNY,31122035,Yes,,https://www.hydrot.cn,,,,"122,817",
2023-02-10,Bukaxing is an e-commerce platform for small pet food supplies.,Bukaxing,https://www.crunchbase.com/organization/bukaxing,"E-Commerce, Food and Beverage, Pet","Nanshan, Hunan, China, Asia",Seed Round - Bukaxing,https://www.crunchbase.com/funding_round/bukaxing-seed--e730004a,2,"Co-Share capital, Jinding Capital",Seed,Jinding Capital,Seed,2,,,,,,,100000000,CNY,14042577,Yes,,,,Early Stage Venture,,"122,989",
2023-02-28,Ninetech provides digital transformation and upgrading solutions for large state-owned enterprises and central enterprises.,Ninetech,https://www.crunchbase.com/organization/ninetech-9abe,"Apps, Artificial Intelligence (AI), Big Data","Shenzhen, Guangdong, China, Asia",Series A - Ninetech,https://www.crunchbase.com/funding_round/ninetech-9abe-series-a--b3db3aab,4,"Albatross Venture, CETC Fund, Qingsong Fund, Shenzhen Capital Group",Early Stage Venture,CETC Fund,Series A,3,,,,,,,10000000,CNY,1570969,Yes,,http://www.ninetechone.com/,,Early Stage Venture,1,"123,693",
2023-04-04,HiStarlink is a commercial company that makes communication technology like space-borne laser communication terminals and core devices.,HiStarlink,https://www.crunchbase.com/organization/histarlink,"Aerospace, Communication Hardware, Manufacturing, Optical Communication","Shenzhen, Guangdong, China, Asia",Series A - HiStarlink,https://www.crunchbase.com/funding_round/histarlink-series-a--fe1b7878,5,"Creation Venture Partners, Goldport Capital, Orient Securities Capital Investment, Vision Capital, Yonghui Capital",Early Stage Venture,Yonghui Capital,Series A,4,,,,,,,,,,Yes,,http://www.histarlink.cn/,,,,"123,249",
2023-01-30,Suzhou Kerun New Materials is an enterprise focusing on the R&D and production of perfluorinated ion membranes for fuel cell protons.,Suzhou Kerun New Materials,https://www.crunchbase.com/organization/suzhou-kerun-new-materials,"Clean Energy, Energy, Industrial","Suzhou, Jiangsu, China, Asia",Series C - Suzhou Kerun New Materials,https://www.crunchbase.com/funding_round/suzhou-kerun-new-materials-series-c--35b35e6f,7,"BAIC Capital, Bridge Capital China, General Technology Venture Capital, Guangzhou Yingding Equity Investment Fund Management, HSG, Rongtuo Capital Management, Weishi Energy",Late Stage Venture,HSG,Series C,2,240000000,CNY,35561878,,,,640000000,CNY,91434042,Yes,,,,Late Stage Venture,,"124,013",
2023-01-01,OneTar Biomedicine is a biopharma company that develops organoid and oncology drugs.,OneTar Biomedicine,https://www.crunchbase.com/organization/onetar-biomedicine,"Biopharma, Biotechnology, Medical","Shanghai, Shanghai, China, Asia",Venture Round - OneTar Biomedicine,https://www.crunchbase.com/funding_round/onetar-biomedicine-series-unknown--f1b7cc55,1,BMC,,,Venture - Series Unknown,1,,,,,,,,,,Yes,,http://www.onetarjz.com/,,,,"124,010",
