Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round),Sentiment
2023-04-08,Yuweitek offers clients competitive goods and technological solutions.,Yuweitek,https://www.crunchbase.com/organization/yuweitek,"Application Specific Integrated Circuit (ASIC), Electronics, Manufacturing, Semiconductor","Shenzhen, Guangdong, China, Asia",Series B - Yuweitek,https://www.crunchbase.com/funding_round/yuweitek-series-b--267a2363,11,"Anhui Railway Development Fund, China Fortune-Tech Capital, Chuanggu Capital, Cornerstone Capital, Hefei Industry Investment Group, Novartis Capital, Pudong Science and Technology Innovation, Shanghai Guxin Touzi, Yongchangsheng Capital, Yuanhe Houwang, Zhangjiang Science & Technology Investment Corporation",Early Stage Venture,Hefei Industry Investment Group,Series B,1,,,,,,,,,,Yes,,http://www.yuweitk.com,,Early Stage Venture,,"11,310",
2023-01-29,Yaoyu Technology is a developer and producer of liquid crystal displays and liquid crystal display modules.,Yaoyu Technology,https://www.crunchbase.com/organization/yaoyu-technology,"Electronics, Hardware, Manufacturing","Shenzhen, Guangdong, China, Asia",Angel Round - Yaoyu Technology,https://www.crunchbase.com/funding_round/yaoyu-technology-angel--b3d80793,6,"Creation Venture Partners, Focustar Capital, Huitongda, Ralph Lauren, Sinowisdom, Wisemen Capital",Seed,"Creation Venture Partners, Focustar Capital",Angel,1,,,,,,,,,,Yes,,http://www.yaoyu-lcm.com,,Seed,,"40,688",
2023-01-18,Xiopmi Space is a commercial space company to develop a constellation of fully independent hyperspectral remote sensing satellites.,Xiopmi Space,https://www.crunchbase.com/organization/xiopm-space,"Commercial, Remote Sensing, Satellite Communication, Service Industry","Xian, Hunan, China, Asia",Series A - Xiopmi Space,https://www.crunchbase.com/funding_round/xiopm-space-series-a--9e3d2d18,4,"Capitech, Chengdu Venture Capital, Hainan Xuanyou Private Fund, Xi'an Investment Holding",Early Stage Venture,"Capitech, Chengdu Venture Capital, Hainan Xuanyou Private Fund, Xi'an Investment Holding",Series A,1,100000000,CNY,14818986,,,,100000000,CNY,14818986,Yes,,http://www.xiopmi.com/,,Early Stage Venture,,"48,226",
2023-04-12,Blueray Med medical device enterprise focusing on a new generation of optomechanical computing.,Blueray Med,https://www.crunchbase.com/organization/blueray-med,"Health Care, Medical, Medical Device","Beijing, Beijing, China, Asia",Series A - Blueray Med,https://www.crunchbase.com/funding_round/blueray-med-series-a--24104196,2,"Hefei Zhonghe Opple Medical and Health Industry fund, Shaanxi Investment Capital",Early Stage Venture,Hefei Zhonghe Opple Medical and Health Industry fund,Series A,1,,,,,,,,,,Yes,,http://www.blueraymed.com/#about,,Early Stage Venture,2,"48,515",
2023-01-09,Eighteeth focuses on the research and production of dental instruments.,Eighteeth,https://www.crunchbase.com/organization/eighteeth,"Dental, Health Care, Manufacturing, Medical Device","Changzhou, Zhejiang, China, Asia",Series B - Eighteeth,https://www.crunchbase.com/funding_round/eighteeth-series-b--c09d9e51,3,"GF Xinde Investment Management, Motianshi Touzi, Youshuo Venture Capital",Early Stage Venture,GF Xinde Investment Management,Series B,2,100000000,CNY,14765596,,,,100000000,CNY,14765596,Yes,,https://www.eighteeth.com,,Early Stage Venture,1,"49,698",
2023-04-10,Jianan Nongmu focuses on logistics and distribution of agriculture and animal husbandry products.,Jianan Nongmu,https://www.crunchbase.com/organization/jianan-nongmu,"Agriculture, Logistics, Supply Chain Management","Suqian, Jiangsu, China, Asia",Venture Round - Jianan Nongmu,https://www.crunchbase.com/funding_round/jianan-nongmu-series-unknown--667cce8a,2,"Jiangsu Industrial Fund, SDIC Venture Capital",,SDIC Venture Capital,Venture - Series Unknown,4,100000000,CNY,14530449,,,,59507908,USD,59507908,Yes,,http://jaagro.com/,,,,"49,868",
2023-01-04,Ruilong Technology is a battery industrialized recycling solution provider.,Ruilong Technology,https://www.crunchbase.com/organization/ruilong-technology,"Battery, Recycling, Waste Management","Jiangxi, Fujian, China, Asia",Series A - Ruilong Technology,https://www.crunchbase.com/funding_round/ruilong-technology-series-a--4964ace6,4,"Gaoxin Capital, Hanhui Touzi, Midea Group, NIO Capital",Early Stage Venture,NIO Capital,Series A,1,,,,,,,,,,Yes,,http://www.ruilong-tech.com ,,Early Stage Venture,4,"50,443",
2023-01-04,TechBloom China is a digital lean optimization company that offers AIoT technology product and services.,TechBloom China,https://www.crunchbase.com/organization/techbloom,"Information Services, Information Technology, Logistics, Software","Beijing, Beijing, China, Asia",Series C - TechBloom China,https://www.crunchbase.com/funding_round/techbloom-series-c--48f6713c,2,"Dening Capital, SIG venture capital",Late Stage Venture,SIG venture capital,Series C,4,,,,,,,,,,Yes,,http://techbloom.net/,,Late Stage Venture,,"50,649",
2023-02-14,"Jimeng Intelligent is an industrial internet platform that offers integrated big data production, management, and application services.",Jimeng Intelligent,https://www.crunchbase.com/organization/jimeng-intelligent,"Big Data, Data Integration, Data Mining, Internet, Online Portals","Xuhui, Shanghai, China, Asia",Series A - Jimeng Intelligent,https://www.crunchbase.com/funding_round/jimeng-intelligent-series-a--b25a86ad,4,"Chengtan Network, Grand View Capital, Shanda Group, Zenmen",Early Stage Venture,"Chengtan Network, Shanda Group, Zenmen",Series A,1,10000000,CNY,1464794,,,,10000000,CNY,1464794,Yes,,https://jimengio.com,,Early Stage Venture,2,"50,730",
2023-02-24,"Lingtu Technology is a LiDAR research, development, and manufacturing company.",Lingtu Technology,https://www.crunchbase.com/organization/lingtu-technology,"Manufacturing, Sensor","Wuhan, Hubei, China, Asia",Series A - Lingtu Technology,https://www.crunchbase.com/funding_round/lingtu-technology-series-a--57163c4d,2,"Changjiang Industrial Investment Group, Yichang State-Owned Investment Group",Early Stage Venture,"Changjiang Industrial Investment Group, Yichang State-Owned Investment Group",Series A,2,,,,,,,,,,Yes,,https://www.lidar-tech.com,,Early Stage Venture,,"51,442",
2023-01-12,"Bioantibody is a high-tech biotechnology firm that develops and manufactures antigens, antibodies, and downstream detection reagents.",Bioantibody,https://www.crunchbase.com/organization/bioantibody,"Biotechnology, Health Care, Medical, Pharmaceutical","Nanjing, Jiangsu, China, Asia",Series A - Bioantibody,https://www.crunchbase.com/funding_round/bioantibody-series-a--72e6eae9,5,"Bondshine Capital, Fang Fund Partners, Guoqian Venture Capital, New Industry Ventures, Phoenix Tree Capital Partners",Early Stage Venture,"Bondshine Capital, Fang Fund Partners, Guoqian Venture Capital, New Industry Ventures, Phoenix Tree Capital Partners",Series A,1,100000000,CNY,14839437,,,,100000000,CNY,14839437,Yes,,https://www.bioantibody.net/,,Early Stage Venture,,"51,570",
2023-01-21,Yinghe Brain Science is a neuromodulation platform developer,Yinghe Brain Science,https://www.crunchbase.com/organization/yinghe-brain-science,"Health Care, Medical, Medical Device","Shenzhen, Guangdong, China, Asia",Angel Round - Yinghe Brain Science,https://www.crunchbase.com/funding_round/yinghe-brain-science-angel--48a40a8c,3,"BIOCHING CAPITAL, Lilly Asia Ventures, Yingmai Medical",Seed,"BIOCHING CAPITAL, Lilly Asia Ventures",Angel,1,100000000,CNY,14741435,,,,100000000,CNY,14741435,Yes,,,,Seed,,"51,999",
2023-01-12,Boyin Bio is a biomaterial research and development firm that provides synthetic biotechnology and custom application solutions.,Boyin Bio,https://www.crunchbase.com/organization/boyin-bio,"Biotechnology, Medical, Pharmaceutical","Shenzhen, Guangdong, China, Asia",Seed Round - Boyin Bio,https://www.crunchbase.com/funding_round/boyin-bio-seed--08db010d,5,"Co-Stone Venture Capital, Fuhua Capital, Woyong Fund, Yael Capital Management Limited, Yunqi Partners",Seed,"Co-Stone Venture Capital, Fuhua Capital, Woyong Fund, Yunqi Partners",Seed,2,100000000,CNY,14839437,,,,16269437,USD,16269437,Yes,,http://www.pam2l.com/,,Seed,4,"53,168",
2023-05-08,"Gohi micro is mainly engaged in the design, development and sales of integrated circuits and semiconductor components.",Gohi micro,https://www.crunchbase.com/organization/gohi-micro,"Advanced Materials, Electronics, Semiconductor","Nanjing, Jiangsu, China, Asia",Series B - Gohi micro,https://www.crunchbase.com/funding_round/gohi-micro-series-b--e95b3785,1,ZJ Innopark (Zhangjiang Hi-Tech Park),Early Stage Venture,ZJ Innopark (Zhangjiang Hi-Tech Park),Series B,1,,,,,,,,,,Yes,,http://gohimicro.com/,$1M to $10M,Early Stage Venture,1,"53,278",
2023-04-24,DataSure is dedicated to providing data connection for hybrid multi-cloud architecture.,DataSure,https://www.crunchbase.com/organization/datasure,"Architecture, Big Data, Cloud Computing","Shanghai, Shanghai, China, Asia",Venture Round - DataSure,https://www.crunchbase.com/funding_round/datasure-series-unknown--8a51b988,1,CETC Fund,,CETC Fund,Venture - Series Unknown,1,,,,,,,,,,Yes,,http://www.datasure.cn/,,,1,"53,526",
2023-04-27,"Tongmei Technology specialized on the research , development and production of new lightweight materials based on magnesium alloys.",Tongmei Technology,https://www.crunchbase.com/organization/tongmei-technology,Manufacturing,"Pudong, Shandong, China, Asia",Series A - Tongmei Technology,https://www.crunchbase.com/funding_round/tongmei-technology-series-a--c30b31e0,2,"Ningbo Jiwen Metal Technology, Yun He Capital",Early Stage Venture,"Ningbo Jiwen Metal Technology, Yun He Capital",Series A,1,60000000,CNY,8665762,,,,60000000,CNY,8665762,Yes,,,,Early Stage Venture,2,"53,803",
2023-01-30,COCO100 produces coconut products including food snacks and personal care.,COCO100,https://www.crunchbase.com/organization/coco100,"Food and Beverage, Food Processing, Manufacturing","Hainan, Hainan, China, Asia",Series A - COCO100,https://www.crunchbase.com/funding_round/coco100-series-a--cf99d51b,1,Jiamei Food Packaging,Early Stage Venture,Jiamei Food Packaging,Series A,5,,,,,,,3030000,USD,3030000,Yes,,,,Early Stage Venture,,"53,840",
2023-03-02,Trustmo Info is an information security products and technology development company.,Trustmo Info,https://www.crunchbase.com/organization/trustmo-info,"Cyber Security, Information Technology, Security","Guangzhou, Guangdong, China, Asia",Series B - Trustmo Info,https://www.crunchbase.com/funding_round/trustmo-info-series-b--e24baef4,1,Leiyao Ziben,Early Stage Venture,Leiyao Ziben,Series B,3,,,,,,,20000000,CNY,3163585,Yes,,https://www.trustmo.com,,IPO,1,"54,061",
2023-03-03,Tingke Bio is a third-party R&D and manufacturing overall solution provider for microfluidic chips.,Tingke Biotechnology,https://www.crunchbase.com/organization/tingke-biotechnology,"Biopharma, Biotechnology, Manufacturing","Hangzhou, Zhejiang, China, Asia",Series A - Tingke Biotechnology,https://www.crunchbase.com/funding_round/tingke-biotechnology-series-a--8cb18123,1,Pan-Lin Capital,Early Stage Venture,Pan-Lin Capital,Series A,1,,,,,,,,,,Yes,,http://www.tinkerbio.com,,Early Stage Venture,1,"54,088",
2023-01-19,Huzhou Shenke is a developer of biological product quality testing tools.,Huzhou Shenke,https://www.crunchbase.com/organization/huzhou-shenke,"Biopharma, Biotechnology, Pharmaceutical","Hangzhou, Zhejiang, China, Asia",Series B - Huzhou Shenke,https://www.crunchbase.com/funding_round/huzhou-shenke-series-b--03d8a582,5,"CICC, CITIC Capital Holdings, CLSA Capital Partners, GoldStone Investment, RiverHead Capital",Early Stage Venture,"CICC, CITIC Capital Holdings",Series B,1,,,,,,,,,,Yes,,https://www.shenkebio.com/,,Early Stage Venture,,"54,133",
2023-03-01,TandemAI is an advanced technology company dedicated to reinventing drug discovery infrastructure.,TandemAI,https://www.crunchbase.com/organization/tandemai,"Biotechnology, Medical","Shanghai, Shanghai, China, Asia",Series A - TandemAI,https://www.crunchbase.com/funding_round/tandemai-series-a--ab5169a1,4,"Eight Roads Ventures, F-Prime Capital, OrbiMed, Qiming Venture Partners",Early Stage Venture,Qiming Venture Partners,Series A,3,35000000,USD,35000000,,,,65500000,USD,65500000,Yes,,https://www.tandemai.com/,$10M to $50M,Late Stage Venture,4,"54,179",
2023-03-11,Zenshine Pharma is a clinical-stage biopharmaceutical company with a focus on small molecule drugs for cancer and autoimmune diseases.,Zenshine Pharma,https://www.crunchbase.com/organization/zenshine,"Biotechnology, Health Care, Medical, Pharmaceutical","Nanjing, Jiangsu, China, Asia",Series B - Zenshine Pharma,https://www.crunchbase.com/funding_round/zenshine-series-b--830d700d,6,"Cybernaut Venture Capital, Ennovation Ventures, Hankang Capital, Jiangbei Technology Investment Group, Matrix Partners China, Yangzi Investment Group",Early Stage Venture,Hankang Capital,Series B,3,,,,,,,28689629,USD,28689629,Yes,,http://cn.zenshine-pharma.com,,Late Stage Venture,4,"54,539",
2023-01-03,Zhengcong Technology is a laboratory automation instrument and equipment developer.,Zhengcong Technology,https://www.crunchbase.com/organization/zhengcong-technology,"Industrial, Industrial Automation, Industrial Engineering","Shanghai, Shanghai, China, Asia",Angel Round - Zhengcong Technology,https://www.crunchbase.com/funding_round/zhengcong-technology-angel--01796d57,1,Furong Capital,Seed,Furong Capital,Angel,1,,,,,,,,,,Yes,,https://intech-robotics.com,,Seed,,"55,376",
2023-01-30,Huaquejing Medical is a rehabilitation medical solution provider that provides intelligent rehabilitation robots.,Huaquejing Medical,https://www.crunchbase.com/organization/huaquejing-medical,"Artificial Intelligence (AI), Rehabilitation, Robotic Process Automation (RPA)","Shenzhen, Guangdong, China, Asia",Series A - Huaquejing Medical,https://www.crunchbase.com/funding_round/huaquejing-medical-series-a--fa3ca501,1,Shenzhen Capital Group,Early Stage Venture,Shenzhen Capital Group,Series A,1,,,,,,,,,,Yes,,http://www.huaquejing.com/,,Early Stage Venture,,"55,487",
2023-03-02,Hexin Pharmaceutical is a developer of nuclide drugs integrating targeted diagnosis and treatment.,Hexin Pharmaceutical,https://www.crunchbase.com/organization/hexin-pharmaceutical,"Biotechnology, Health Care, Medical","Taicang, Jiangsu, China, Asia",Series A - Hexin Pharmaceutical,https://www.crunchbase.com/funding_round/hexin-pharmaceutical-series-a--fce10373,2,"Cowin Capital, Sunland Fund",Early Stage Venture,"Cowin Capital, Sunland Fund",Series A,1,100000000,CNY,14460689,,,,100000000,CNY,14460689,Yes,,http://hexin-med.com/,,Early Stage Venture,2,"55,548",
2023-02-13,Megatronix is the developer of vehicle intelligent products.,Megatronix,https://www.crunchbase.com/organization/megatronix,"Automotive, Computer, Software","Beijing, Beijing, China, Asia",Series D - Megatronix,https://www.crunchbase.com/funding_round/megatronix-series-d--5b0a261f,5,"M31 Capital, Mouhua Science and Technology, Nanshan Capital, Redpoint Ventures China, Road Capital",Late Stage Venture,"M31 Capital, Nanshan Capital, Road Capital",Series D,3,,,,,,,25529879,USD,25529879,Yes,,https://www.megatronix.cn/,$500M to $1B,Late Stage Venture,2,"55,706",
2023-01-19,TangFeng Energy specializes in the research and development of fuel cell membrane electrodes.,TangFeng Energy,https://www.crunchbase.com/organization/tangfeng-energy,"Energy, Energy Storage, Manufacturing","Shanghai, Shanghai, China, Asia",Series C - TangFeng Energy,https://www.crunchbase.com/funding_round/tangfeng-energy-series-c--f60485c9,12,"Dongfeng Asset Management, Everest Venture Capital, Frontier Investment Management, GP Capital, Haitong Capital, Hillhouse Investment, Hunan Hi-Tech Venture Capital, Jiuyi Investment, Mount Everest Venture Capital, Shaanxi Coal Qinling Science and Technology Venture Capital, Shangyin International, Shique Investment",Late Stage Venture,"Dongfeng Asset Management, Frontier Investment Management, Hunan Hi-Tech Venture Capital",Series C,1,300000000,CNY,44268028,,,,300000000,CNY,44268028,Yes,,http://www.tangfengenergy.com,,Late Stage Venture,,"56,096",
2023-02-22,Nanjing Keyun Optoelectronics Technology develops an ultra-fast laser processing system.,Nanjing Keyun Optoelectronics Technology,https://www.crunchbase.com/organization/nanjing-keyun-optoelectronics-technology,"Electronics, Laser, Manufacturing","Nanjing, Jiangsu, China, Asia",Series A - Nanjing Keyun Optoelectronics Technology,https://www.crunchbase.com/funding_round/nanjing-keyun-optoelectronics-technology-series-a--e1a11da6,3,"Guangzhou Guofa Venture Capital, Qianzhou Qingyuan Investment, Suzhou Gaoxin Xinyuan Investment Management Co., Ltd.",Early Stage Venture,Guangzhou Guofa Venture Capital,Series A,1,,,,,,,,,,Yes,,http://manderalaser.com/cn/,,Early Stage Venture,2,"56,769",
2023-04-13,Haima Cloud provides a real-time interactive content cloud computing service.,Haima Cloud,https://www.crunchbase.com/organization/haima-cloud,"Cloud Computing, Cloud Infrastructure, Content, Information Technology","Tianjin, Guangdong, China, Asia",Series D - Haima Cloud,https://www.crunchbase.com/funding_round/haima-cloud-series-d--6a656a8b,6,"Anhui Railway Development Fund, Chuanggu Capital, Hefei High Tech Industry Investment, Hefei Industry Investment Group, Hefei Keagricultural Bank, Huaan Jiaye",Late Stage Venture,Anhui Railway Development Fund,Series D,1,,,,,,,,,,Yes,,https://www.haimacloud.com,,Late Stage Venture,,"56,838",
2023-05-05,Fenghe Technology is skilled third-party service provider of the smart medical supply chain.,Fenghe Technology,https://www.crunchbase.com/organization/fenghe-technology,"Medical, Service Industry, Supply Chain Management","Beijing, Beijing, China, Asia",Angel Round - Fenghe Technology,https://www.crunchbase.com/funding_round/fenghe-technology-angel--b1ad5cdd,1,QF Capital,Seed,QF Capital,Angel,1,,,,,,,,,,Yes,,http://www.fenghecloud.com/,,Seed,1,"57,077",
2023-04-27,Roleds is a provider of smart Internet of Things solutions for Urban smart lighting.,Roleds,https://www.crunchbase.com/organization/roleds,"Internet of Things, Lighting, Manufacturing","Hangzhou, Zhejiang, China, Asia",Series D - Roleds,https://www.crunchbase.com/funding_round/roleds-series-d--88501132,2,"Degui Capital, Huangshan Government Industry Fund",Late Stage Venture,"Degui Capital, Huangshan Government Industry Fund",Series D,1,,,,,,,,,,Yes,,https://www.roleds.com,,Late Stage Venture,,"57,116",
2023-03-13,"Bizhen Technology provides the creation, publishing and trading of 3D real-time interactive virtual spaces.",Bizhen Technology,https://www.crunchbase.com/organization/bizhen-technology,"3D Technology, Augmented Reality, Virtual Reality","Yangpu, Hainan, China, Asia",Angel Round - Bizhen Technology,https://www.crunchbase.com/funding_round/bizhen-technology-angel--bdca15b1,3,"Cathay Capital, Linear Venture, Sequoia Capital",Seed,,Angel,1,,,,,,,,,,Yes,,https://bitsrealm.com/home,,Seed,,"57,308",
2023-02-13,RELEE COFFEE offers freshly ground hand-crafted coffee.,RELEE COFFEE,https://www.crunchbase.com/organization/relee-coffee,"Coffee, Food and Beverage, Food Processing","Hangzhou, Zhejiang, China, Asia",Series A - RELEE COFFEE,https://www.crunchbase.com/funding_round/relee-coffee-series-a--d3456a2e,1,Xinsheng Group,Early Stage Venture,Xinsheng Group,Series A,1,30000000,CNY,4396957,,,,30000000,CNY,4396957,Yes,,,,Early Stage Venture,,"57,843",
2023-03-22,Tianji Communication is a manufacturer of wireless network communication products.,Tianji Communication,https://www.crunchbase.com/organization/tianji-communication,"Communication Hardware, Communications Infrastructure, Wireless","Xian, Hunan, China, Asia",Series B - Tianji Communication,https://www.crunchbase.com/funding_round/tianji-communication-series-b--6fbdb945,1,Fortune Venture Capital,Early Stage Venture,Fortune Venture Capital,Series B,1,90000000,CNY,13080065,,,,90000000,CNY,13080065,Yes,,http://www.tjtxkj.com/,,Early Stage Venture,,"58,067",
2023-03-17,Lips Semiconductor is a developer and producer of power semiconductor components for new energy vehicles and industrial use.,Lips Semiconductor,https://www.crunchbase.com/organization/lips-semiconductor,"Automotive, Electronics, Industrial, Manufacturing, Semiconductor","Wuxi, Anhui, China, Asia",Series B - Lips Semiconductor,https://www.crunchbase.com/funding_round/lips-semiconductor-series-b--4259bf9a,2,"Hygoal Capital, New Alliance Capital",Early Stage Venture,Hygoal Capital,Series B,3,100000000,CNY,14519900,,,,244000000,CNY,37079569,Yes,,http://www.leapers-power.com/,,Early Stage Venture,2,"58,150",
2023-03-06,Pearl Hydrogen is a hydrogen fuel cell solution provider with core IP in catalyst and membrane.,Pearl Hydrogen,https://www.crunchbase.com/organization/pearl-hydrogen,"Energy, Fuel, Oil and Gas","Fengxian, Shanghai, China, Asia",Private Equity Round - Pearl Hydrogen,https://www.crunchbase.com/funding_round/pearl-hydrogen-private-equity--08a7ed4a,1,Puyang Refractories Group Co Ltd,Private Equity,Puyang Refractories Group Co Ltd,Private Equity,2,,,,,,,,,,Yes,,http://www.pearlhydrogen.com,$1M to $10M,Private Equity,,"58,354",
2023-01-09,"Core Long March is a high-tech design company integrating design, R&D and packaging manufacturing of new power semiconductor devices",Guizhou Core Long March Technology (Marching Power),https://www.crunchbase.com/organization/guizhou-core-long-march-technology,"Information Technology, Manufacturing, Product Design, Semiconductor","Guiyang, Guizhou, China, Asia",Series D - Guizhou Core Long March Technology (Marching Power),https://www.crunchbase.com/funding_round/guizhou-core-long-march-technology-series-d--efd9b2cf,11,"CD Capital, China Life Investment Holding, CRRC, Delta Capital, Gaorong Capital, Ginlong Technologies, Guoqi Zhilian, Nanxi Venture Capital, SeptWolves, TCL Capital, V Fund Management",Late Stage Venture,China Life Investment Holding,Series D,3,,,,,,,500000000,CNY,78513889,Yes,,http://www.marching-power.com/,$10M to $50M,Late Stage Venture,,"58,624",
2023-04-13,Mark Workshop is a manufacturer of electronic products.,Mark Workshop,https://www.crunchbase.com/organization/mark-workshop,"Electronics, Manufacturing","Shenzhen, Guangdong, China, Asia",Corporate Round - Mark Workshop,https://www.crunchbase.com/funding_round/mark-workshop-corporate-round--ca5019b5,1,Morooy,,Morooy,Corporate Round,1,,,,,,,,,,Yes,,,,,,"58,669",
2023-04-19,Chamlion provides end-to-end digital dentistry solutions based on 3D printing technology.,Chamlion,https://www.crunchbase.com/organization/chamlion,"3D Printing, 3D Technology, Dental","Nanjing, Jiangsu, China, Asia",Series B - Chamlion,https://www.crunchbase.com/funding_round/chamlion-series-b--ba5c11be,4,"3H Health Investment, Taihe Capital, Vertex Ventures China, Zhencheng Capital",Early Stage Venture,3H Health Investment,Series B,1,236000000,CNY,34271939,,,,236000000,CNY,34271939,Yes,,https://www.chamlion.com,,Early Stage Venture,1,"58,868",
2023-03-01,Obsbot sells an artificial intelligence camera for records and image creation.,Obsbot,https://www.crunchbase.com/organization/obsbot,"Artificial Intelligence (AI), Hardware","Shenzhen, Guangdong, China, Asia",Series C - Obsbot,https://www.crunchbase.com/funding_round/obsbot-series-c--96ad37b9,5,"CMB International Capital Corporation, Everbright Capital, Hong Kong X-Tech, Songshan Lake Xbot Park, Zhuoyuan Capital",Late Stage Venture,"CMB International Capital Corporation, Everbright Capital, Zhuoyuan Capital",Series C,4,,,,,,,2913031,USD,2913031,Yes,,http://www.remo-ai.com/,$1M to $10M,Late Stage Venture,,"58,938",
2023-02-15,Hygea Medical Technology is a oncology-focused biopharma company.,Hygea Medical Technology,https://www.crunchbase.com/organization/hygea-medical-technology,"Biopharma, Biotechnology, Health Care, Oncology","Beijing, Beijing, China, Asia",Series D - Hygea Medical Technology,https://www.crunchbase.com/funding_round/hygea-medical-technology-series-d--88c6383f,8,"Gaorong Capital, Huajin Capital, In Capital, MeiHong Fund, Qiandao Fund, Rongquan Capital, Unifortune, Yueyin Venture Capital",Late Stage Venture,"In Capital, Yueyin Venture Capital",Series D,3,100000000,CNY,14592149,,,,119687207,USD,119687207,Yes,,http://www.hygeamed.com/,,Late Stage Venture,4,"59,189",
2023-04-28,ZD Automotive is a high-tech enterprise with its own intellectual property rights and international layout in the field of smart vehicles.,ZD Automotive,https://www.crunchbase.com/organization/zd-automotive,"Automotive, Service Industry","Changyang, Beijing, China, Asia",Series A - ZD Automotive,https://www.crunchbase.com/funding_round/zd-automotive-series-a--9df56c2f,2,"Beidou Investment, China Merchants Venture Capital",Early Stage Venture,China Merchants Venture Capital,Series A,1,100000000,CNY,14467174,,,,100000000,CNY,14467174,Yes,,http://zd-automotive.cn/,,Early Stage Venture,3,"59,221",
2023-04-10,Huaning Century is a medical big data product and service provider.,Huaning Century,https://www.crunchbase.com/organization/huaning-century,"Health Care, Hospital, Medical","Haidian, Beijing, China, Asia",Angel Round - Huaning Century,https://www.crunchbase.com/funding_round/huaning-century-angel--38d1cd01,1,Yuhua Capital,Seed,Yuhua Capital,Angel,1,18000000,CNY,2615481,,,,18000000,CNY,2615481,Yes,,http://www.bjhnsj.cn/,,Seed,,"59,277",
2023-04-27,Animo Bio is an innovative animal illness model creator and major producer of experimental animals.,Animo Bio,https://www.crunchbase.com/organization/animo-bio,"Medical, Veterinary","Jiaxing, Zhejiang, China, Asia",Series A - Animo Bio,https://www.crunchbase.com/funding_round/animo-bio-series-a--911a60b4,2,"Haining New Vision Yuxiu Technology Fund, RegenGeek",Early Stage Venture,"Haining New Vision Yuxiu Technology Fund, RegenGeek",Series A,1,,,,,,,,,,Yes,,https://ainimo.cn/,,Early Stage Venture,,"59,376",
2023-02-24,"Card Club is focused on animation derivative cards and IPs including Douluo Dalu, Fight Break the Sky, Ghost Slayer, Disney, Pixar, etc.",Card Club,https://www.crunchbase.com/organization/card-club,"Animation, Casual Games, Gaming","Guangzhou, Guangdong, China, Asia",Seed Round - Card Club,https://www.crunchbase.com/funding_round/card-club-seed--af7ce32a,1,Bilibili,Seed,Bilibili,Seed,1,,,,,,,,,,Yes,,https://www.card.fun/,,Seed,,"59,497",
2023-02-02,"Golden Feather New Energy Technology is engaged in the research, development, production, and sales of lithium metal and zinc-ion batteries.",Golden Feather New Energy Technology,https://www.crunchbase.com/organization/golden-feather-new-energy-technology,"Automotive, Battery, Electric Vehicle, Energy, Energy Storage, Manufacturing","Beijing, Beijing, China, Asia",Venture Round - Golden Feather New Energy Technology,https://www.crunchbase.com/funding_round/golden-feather-new-energy-technology-series-unknown--89fa36d0,2,"Jiuzhi Ziben, SPIC",,,Venture - Series Unknown,3,,,,,,,,,,Yes,,http://www.jyxn.tech/,,,2,"60,013",
2023-01-06,WITINMEM is a low power AI chips and system solutions based on processing-in-memory technology in NOR Flash memory.,WITINMEM,https://www.crunchbase.com/organization/witinmem,"Artificial Intelligence (AI), Information Technology, Semiconductor","Haidian, Beijing, China, Asia",Series B - WITINMEM,https://www.crunchbase.com/funding_round/witinmem-series-b--b5c69072,3,"LH Ventures, SDIC Venture Capital, Watere Capital",Early Stage Venture,SDIC Venture Capital,Series B,4,200000000,CNY,29246180,4400000000,CNY,643415954,500000000,CNY,75118080,Yes,,http://www.witmem.com/,,Early Stage Venture,,"60,021",
2023-04-13,Optimist is a private consumer brand that creates gear for artificial intelligence.,Optimist,https://www.crunchbase.com/organization/optimist-cdd1,"Artificial Intelligence (AI), Hardware","Changyang, Beijing, China, Asia",Angel Round - Optimist,https://www.crunchbase.com/funding_round/optimist-cdd1-angel--c8d631b2,2,"Shenzhen UnionTech Huijia, Wanqiang Li",Seed,"Shenzhen UnionTech Huijia, Wanqiang Li",Angel,1,19000000,CNY,2766131,131000000,CNY,19071745,19000000,CNY,2766131,Yes,,https://letianpai.com/,,Seed,,"60,149",
2023-03-23,BlueOcean specializes in developing liquid cooling solutions for miniaturized electronic devices.,BlueOcean,https://www.crunchbase.com/organization/blueocean-49ec,"Consumer Electronics, Energy Efficiency, Information Technology","Ningbo, Zhejiang, China, Asia",Venture Round - BlueOcean,https://www.crunchbase.com/funding_round/blueocean-49ec-series-unknown--e9c54769,2,"Dami Ventures, WELINK",,WELINK,Venture - Series Unknown,3,,,,,,,10000000,CNY,1530737,Yes,,http://www.blueocean-china.net/,,,,"60,379",
